TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction	Concatenated
yegX1	-	thiMD	-	yegX1thiMD
yicG	+	ligB1	-	yicGligB1
wzbc	-	wza-wzb-wzc-wcaAB	-	wzbcwza-wzb-wzc-wcaAB
carB	+	carAB	+	carBcarAB
uspC1	+	otsA	-	uspC1otsA
uspC1	+	otsBA	-	uspC1otsBA
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCftsQ
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCftsQAZ
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCstfZ
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxClpxC
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCrsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCmraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ybhD1	-	ybhH2	+	ybhD1ybhH2
ybhD2	-	ybhH1	+	ybhD2ybhH1
trpLEDCBA	-	trpCBA	-	trpLEDCBAtrpCBA
trpLEDCBA	-	trpL	-	trpLEDCBAtrpL
uxaB1	-	uxaB	-	uxaB1uxaB
gnsA	+	ymcE-gnsA1	+	gnsAymcE-gnsA1
leuU	-	secG1	-	leuUsecG1
leuU	-	secG-leuU	-	leuUsecG-leuU
yhfK	+	crp	+	yhfKcrp
cbpA-cbpM	-	cbpAM	-	cbpA-cbpMcbpAM
ymfJ2	-	ymfI1	+	ymfJ2ymfI1
tesB	-	glnK-amtB	+	tesBglnK-amtB
tyrS-pdxY	-	pdxY	-	tyrS-pdxYpdxY
tyrS-pdxY	-	pdxH-tyrS-pdxY	-	tyrS-pdxYpdxH-tyrS-pdxY
xseA	+	yfgJ	-	xseAyfgJ
aroM	+	yaiA-aroM	+	aroMyaiA-aroM
aroM	+	aroL-yaiA-aroM	+	aroMaroL-yaiA-aroM
leuLABCD	-	leuL	-	leuLABCDleuL
rsmB1	+	def-fmt	+	rsmB1def-fmt
caiCDE	-	caiTABCDE	-	caiCDEcaiTABCDE
chaC	+	chaBC	+	chaCchaBC
argE	-	argCBH	+	argEargCBH
amiC2	-	argA	+	amiC2argA
yfiM1	+	pssA	+	yfiM1pssA
yfiM1	+	kgtP1	-	yfiM1kgtP1
yobA-yebZY	-	sdsR-pphA	-	yobA-yebZYsdsR-pphA
trkG1	+	ynaK-ydaY2	+	trkG1ynaK-ydaY2
asnU	+	yeeO2	-	asnUyeeO2
asnU	+	cbl	-	asnUcbl
yceD-rpmF	+	sraB	+	yceD-rpmFsraB
yceD-rpmF	+	rpmF-plsX-fabHDG	+	yceD-rpmFrpmF-plsX-fabHDG
yceD-rpmF	+	yceF3	-	yceD-rpmFyceF3
mdtEF	+	gadEF-mdtEF	+	mdtEFgadEF-mdtEF
mdtEF	+	gadE-mdtEF	+	mdtEFgadE-mdtEF
epd-pgk	-	epd-pgk-fbaA	-	epd-pgkepd-pgk-fbaA
epd-pgk	-	pgk-fbaA	-	epd-pgkpgk-fbaA
epd-pgk	-	pgk	-	epd-pgkpgk
rpoBC	+	rplKAJL-rpoBC	+	rpoBCrplKAJL-rpoBC
rpoBC	+	rplJL-rpoBC	+	rpoBCrplJL-rpoBC
fepDGC	-	fes-ybdZ-entF-fepE	+	fepDGCfes-ybdZ-entF-fepE
ilvY	-	ilvEDA	+	ilvYilvEDA
ilvY	-	ilvLXG_1G_2MEDA	+	ilvYilvLXG_1G_2MEDA
yghT1	+	yghSR	-	yghT1yghSR
talA	+	talA-tktB	+	talAtalA-tktB
talA	+	tktB	+	talAtktB
yecH1	-	tyrP	+	yecH1tyrP
fliDST	+	amyA	+	fliDSTamyA
hslJ	-	ydbJ	+	hslJydbJ
yefM-yoeB	-	yeeZ1	-	yefM-yoeByeeZ1
mtlADR	+	yibT1	-	mtlADRyibT1
