TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
pflB	-	focA-pflB	-
kdsC-lptCAB	+	lptB-rpoN-hpf-ptsN-yhbJ	+
kdsC-lptCAB	+	lptAB	+
kdsC-lptCAB	+	rpoN-hpf-ptsN-yhbJ-npr	+
kdsC-lptCAB	+	yrbG-kdsDC-lptCAB	+
kdsC-lptCAB	+	yrbG-kdsD	+
cbpAM	-	cbpA-cbpM	-
gadEF	+	arrS	-
dnaKJ	+	tpke11	+
ybeD-lipB	-	ybeD1	-
ybeD-lipB	-	ybeD2	-
ybeD-lipB	-	lipB1	-
ybeD-lipB	-	lipB2	-
pcnB-folk	-	dksA-gluQ	-
ompN	-	ydbK-ompN	-
thrU-tyrU-glyT-thrT-tufB	+	secE-nusG	+
acnA	+	ymiA-yciX	+
ahpCF	+	ahpF	+
chiZPQ	+	chiQ	+
ycgR	-	ymgE1	+
elbB-mtgA	-	yrbL	+
insMI3	-	insN-2	+
pstSCAB-phoU	-	pstB-phoU	-
pstSCAB-phoU	-	pstS	-
pstSCAB-phoU	-	pstCAB-phoU	-
pstSCAB-phoU	-	phoU	-
gcvA	-	ygdD1	-
yjbEFGH	+	yjbE	+
metH	+	iclR	-
kefGB-yheV	-	slyD1	-
rpoE-rseABC	-	rseABC	-
rpoE-rseABC	-	rseD-rpoE-rseABC	-
pdxI1	+	ydbD	+
mrcA	+	hofMNOP	-
rpmBG	-	rpmBG-mutM	-
rpmBG	-	mutM1	-
rpmBG	-	yicR-rpmBG	-
rpmBG	-	yicR-rpmBG-mutM	-
nlpC2	-	btuD	-
nlpC2	-	btuCED	-
ilvL	+	ilvLXG_1G_2MEDA	+
umpG-pcm	-	truD	-
lacZYA	-	cynTSX	+
ompR-envZ	-	greB2	+
gor	+	rlmJ	+
rsmG1	-	mnmG-rsmG	-
rsmG1	-	asnC-mioC-mnmG	-
rne	-	yceQ1	+
acpP	+	fabG-acpP	+
acpP	+	fabDG-acpP	+
acpP	+	acpP-fabF	+
yfdX	-	frc	-
yfdX	-	oxc1	-
yfdX	-	oxc2	-
rsxABCDGE-nth	+	ydgK-rsxABCDGE-nth	+
yjgD	+	rraB	+
ybiX1	-	fiu	-
tesA-ybbO	-	ybbN	-
tesA-ybbO	-	ybbAP	+
fabF	+	pabC-mltG-tmk-holB-ycfH3	+
fabF	+	acpP-fabF	+
